aaa,9996090,8058,158,237
aab,9986273,10612,178,354
aac,9757115,9892,88,160
aad,9990033,9109,43,100
aae,9975445,9785,8,19
aaf,9943270,9729,268,594
aag,9960058,9677,53,123
aba,9859816,9024,102,224
abb,9988014,9696,62,82
abc,9646486,7119,6,17
abd,9870134,9070,44,123
abe,9997247,8906,50,87
abf,9906158,8340,113,278
abg,9978702,7825,202,345
aca,9845110,9539,69,193
acb,9905827,8930,35,91
acc,9932297,9444,197,502
acd,9907446,7891,81,197
ace,9303576,9514,14,43
acf,9837712,9493,177,240
acg,9704598,8955,93,203
ada,9982854,8720,661,1021
adb,9912234,9990,98,246
adc,9748801,8577,103,201
add,9868834,7960,35,77
ade,9986962,9277,133,228
adf,9991988,8026,169,326
adg,9943318,8431,274,425
aea,9869184,9676,147,206
aeb,9832995,7816,96,238
aec,9908668,7913,84,129
aed,9835161,10859,21,49
aee,9994156,8461,236,361
aef,9920620,7791,55,111
aeg,9831296,9985,72,208
afa,9834152,9562,287,654
afb,9956124,9671,12,44
afc,9620776,7340,127,186
afd,9989219,10695,392,705
afe,9881706,9189,210,336
aff,9913357,9092,41,83
afg,9812228,8648,29,71
aga,9997337,9416,298,476
agb,9101291,11242,187,341
agc,9962576,7615,5,9
agd,9901786,9847,59,100
age,9681227,8391,16,60
agf,9879167,10221,14,43
agg,9804799,8084,57,194
baa,9936653,6819,171,249
bab,9930058,9542,143,242
bac,9878020,8059,659,1088
bad,9717478,11096,422,642
bae,9967850,9282,164,311
baf,9942151,7410,64,112
bag,9815097,8155,120,369
bba,9941435,9352,90,191
bbb,9870296,8189,166,234
bbc,9853512,8223,221,317
bbd,9891302,8214,40,67
bbe,9853543,8737,60,169
bbf,9714836,8871,23,69
bbg,9421903,8868,87,134
bca,9975676,8352,108,234
bcb,9827522,8871,183,297
bcc,9936778,8147,387,532
bcd,9779364,8362,109,211
bce,9765846,8424,57,169
bcf,9666296,8441,78,172
bcg,9878711,9889,249,332
bda,9744321,8920,38,165
bdb,9982240,9964,254,374
bdc,9812464,9104,167,261
bdd,9877329,9003,32,58
bde,9619829,7601,155,284
bdf,9891787,8782,181,241
bdg,9978725,9815,30,80
bea,9787481,8900,131,273
beb,9769776,9110,189,368
bec,9931772,9652,108,239
bed,9882737,9997,42,83
bee,9966372,8741,92,259
bef,9756264,9894,23,67
beg,9931790,9674,60,218
bfa,9931143,8305,425,727
bfb,9962835,9026,87,188
bfc,9959059,7496,53,81
bfd,9907425,8459,91,290
bfe,9976707,9046,174,309
bff,9768296,11486,400,692
bfg,9938750,9411,21,54
bga,9202156,8979,17,55
bgb,9864303,8403,17,65
bgc,9582292,7742,361,677
bgd,9829618,9081,69,188
bge,9624080,9512,195,272
bgf,9508550,9001,267,409
bgg,9963160,8617,19,56
caa,9999283,9221,27,100
cab,9772108,8318,5,8
cac,9850357,10160,19,115
cad,9209686,9600,14,33
cae,9936466,9991,48,122
caf,9921465,8255,8,26
cag,9973946,7365,365,520
cba,9860877,8006,87,132
cbb,9862476,9603,252,376
cbc,9767749,8991,203,299
cbd,9761979,9052,27,96
cbe,9680736,9140,14,47
cbf,9569088,8620,53,72
cbg,9967489,8337,146,293
cca,9647534,8366,120,248
ccb,9853301,7406,383,649
ccc,9966674,9604,369,862
ccd,9975791,6915,182,318
cce,9979872,8863,215,346
ccf,9984693,8037,286,474
ccg,9498732,9269,34,126
cda,9764376,8627,33,151
cdb,9683319,8454,256,371
cdc,9991300,7764,133,285
cdd,9880665,9127,254,454
cde,9787785,9634,41,95
cdf,9990604,9897,183,294
cdg,9936309,7904,39,106
cea,9331401,7176,64,106
ceb,9561032,10400,136,291
cec,9966136,8225,190,382
ced,9749317,8439,192,312
cee,9819430,8092,7,17
cef,9915984,9059,5,12
ceg,9992495,8740,33,51
cfa,9896046,8998,30,51
cfb,9548349,9297,255,448
cfc,9385459,9164,190,290
cfd,9936671,8565,122,282
cfe,9680206,9763,5,13
cff,9654747,9235,228,341
cfg,9874027,8979,116,295
cga,9974077,7540,103,234
cgb,9984279,8172,273,617
cgc,9858317,9006,71,246
cgd,9902512,8661,93,257
cge,9974402,7999,116,288
cgf,9785817,9460,82,250
cgg,9852345,7959,144,254
daa,9720587,9094,106,221
dab,9774240,8929,149,267
dac,9925412,7936,118,188
dad,9891503,9849,103,245
dae,9873566,9491,106,201
daf,9929475,8852,342,558
dag,9981982,9214,57,126
dba,9935114,9912,126,216
dbb,9843650,8965,218,413
dbc,9397139,8456,28,97
dbd,9997259,8223,198,394
dbe,9691468,7976,21,61
dbf,9836533,7900,110,219
dbg,9808876,7288,24,38
dca,9726427,10005,5,6
dcb,9855381,8265,98,182
dcc,9769114,8226,505,1171
dcd,9814155,7481,21,44
dce,9816021,8599,189,347
dcf,9703594,10574,108,231
dcg,9887570,7572,194,260
dda,9871401,8051,110,197
ddb,9908225,10027,54,268
ddc,9542438,10627,9,42
ddd,9984488,10005,22,45
dde,9627972,9489,8,34
ddf,9777513,9885,190,290
ddg,9769100,7863,159,229
dea,9908217,9153,73,202
deb,9985577,8743,31,51
dec,9844135,8373,153,237
ded,9998205,7728,174,269
dee,9719342,9457,199,283
def,9857405,9438,49,112
deg,9720696,10062,102,317
dfa,9914224,9466,25,116
dfb,9775935,8840,5,13
dfc,9844900,8406,77,191
dfd,9983921,8657,260,529
dfe,9947691,9181,88,250
dff,9977933,8112,141,272
dfg,9662839,11437,67,164
dga,9856142,8911,133,345
dgb,9958078,8778,84,148
dgc,9961152,8996,148,297
dgd,9927213,9391,273,415
dge,9944765,8368,74,165
dgf,9953765,8539,105,255
dgg,9439115,9421,38,121
eaa,9968255,8172,363,657
eab,9508023,11281,104,305
eac,9677074,9676,28,47
ead,9702910,9391,183,349
eae,9945212,8526,29,58
eaf,9917871,10277,59,140
eag,9970624,7975,34,51
eba,9905208,7295,133,249
ebb,9960798,7749,115,248
ebc,9928698,9075,29,81
ebd,9946558,9032,86,141
ebe,9975812,7809,6,19
ebf,9936246,9645,18,51
ebg,9995861,11675,11,46
eca,9897231,10670,44,129
ecb,9855305,8634,191,392
ecc,9363690,7492,58,98
ecd,9894636,9985,6,18
ece,9941988,8666,107,162
ecf,9337866,8260,112,194
ecg,9670425,11517,31,91
eda,9772728,8939,83,148
edb,9950520,10176,71,113
edc,9758277,8718,119,371
edd,9704133,8772,77,188
ede,9908940,7705,99,232
edf,9982790,10156,104,218
edg,9746186,10201,79,124
eea,9965547,10065,24,58
eeb,9837684,8893,38,97
eec,9499741,8662,42,245
eed,9618964,11465,226,497
eee,9778270,8363,104,206
eef,9989210,7449,20,47
eeg,9668395,9126,79,170
efa,9998292,8335,47,132
efb,9753002,9082,41,70
efc,9856100,7756,230,344
efd,9991698,8586,331,602
efe,9935624,8085,136,270
eff,9962437,9361,50,107
efg,9920209,9406,16,72
ega,9877959,8732,129,300
egb,9973315,9680,12,44
egc,9962666,9686,8,30
egd,9982960,10178,115,244
ege,9996583,8219,53,77
egf,9506074,9570,132,232
egg,9714982,9803,36,92
faa,9854392,7802,168,236
fab,9971249,9344,13,37
fac,9924116,6561,135,314
fad,9848871,10299,138,252
fae,9959775,8364,91,210
faf,9954262,9045,23,47
fag,9869654,10058,231,391
fba,9820808,10864,16,110
fbb,9736388,7251,217,338
fbc,9958993,9811,10,28
fbd,9723266,8806,148,282
fbe,9452482,9335,163,289
fbf,9966735,10354,6,21
fbg,9888309,8616,101,168
fca,9909338,8889,54,160
fcb,9860533,7885,174,239
fcc,9977154,7595,37,85
fcd,9967354,10006,96,257
fce,9651071,11595,84,179
fcf,9722599,9725,82,295
fcg,9369853,8847,163,311
fda,9851986,8862,182,357
fdb,9858346,10590,10,54
fdc,9730801,9620,48,108
fdd,9821857,8828,65,134
fde,9992237,8954,190,332
fdf,9919177,11000,98,177
fdg,9887187,8243,91,158
fea,9874466,7086,411,717
feb,9954181,9249,117,197
fec,9781632,8705,141,267
fed,9902551,7805,31,89
fee,9581990,8256,143,217
fef,9741704,7645,26,42
feg,9372594,7934,98,166
ffa,9934322,7809,5,9
ffb,9774359,8064,60,118
ffc,9901481,7575,208,328
ffd,9705021,9143,156,328
ffe,9975968,7331,174,285
fff,9759066,8964,16,55
ffg,9989591,7758,13,38
fga,9554762,9586,106,193
fgb,9756915,9921,140,303
fgc,9992216,8533,160,325
fgd,9912470,8123,123,181
fge,9967653,8024,26,53
fgf,9977936,9226,190,348
fgg,9915191,9225,209,435
gaa,9996630,9145,87,207
gab,9550610,10544,202,388
gac,9926823,8288,120,225
gad,9784485,8572,80,162
gae,9806611,8648,96,297
gaf,9907081,9747,204,392
gag,9798746,8148,120,195
gba,9957730,9841,6,14
gbb,9613345,9081,153,353
gbc,9953406,8994,68,143
gbd,9972524,8271,51,187
gbe,9765133,10334,101,202
gbf,9948363,9324,7,21
gbg,9674755,7978,65,105
gca,9762518,9230,54,87
gcb,9955526,8705,22,66
gcc,9886493,8519,93,140
gcd,9617766,9618,152,329
gce,9653825,9726,347,479
gcf,9915446,7889,127,200
gcg,9911037,8001,241,353
gda,9848079,11900,340,560
gdb,9932991,8710,58,129
gdc,9887177,8035,155,323
gdd,9886470,9932,123,276
gde,9878576,9213,119,181
gdf,9563060,8891,250,382
gdg,9404763,8137,216,355
gea,9507742,9267,76,190
geb,9788280,9949,117,227
gec,9793687,8204,82,289
ged,9749566,8542,40,108
gee,9996906,7917,216,411
gef,9886535,8373,224,358
geg,9856286,8870,6,13
gfa,9962767,10218,206,361
gfb,9850903,8651,59,104
gfc,9696595,8996,63,135
gfd,9851882,8420,155,262
gfe,9832654,6979,117,191
gff,9484470,10688,199,315
gfg,9938489,9493,68,98
gga,9904485,8917,123,227
ggb,9906621,10033,5,5
ggc,9896442,9796,118,188
ggd,9729523,9480,7,26
gge,9632712,10378,115,225
ggf,9933337,9656,105,155
ggg,9797449,9030,116,258
